AIRLINE,FL_DATE,ARR_DELAY,FL_NUMBER,ORIGIN_CITY,CANCELLED,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_AIRCRAFT
"Southwest Airlines Co.",2023-01-01,-00:03,1254,"Kansas City, MO",0,00:07,00:00,00:00,00:00,00:09
"Republic Airline",2023-01-01,-00:17,5592,"Richmond, VA",0,00:00,00:00,00:34,00:00,00:00
"Envoy Air",2023-01-01,-00:16,3505,"Madison, WI",0,00:00,00:00,00:18,00:00,00:00
"Allegiant Air",2023-01-01,01:32,661,"Springfield, MO",0,00:04,00:00,00:05,00:00,01:23
"SkyWest Airlines Inc.",2023-01-01,00:02,5077,"Liberal, KS",0,00:00,00:00,00:00,00:00,00:36
"Spirit Air Lines",2023-01-01,00:03,1746,"Charleston/Dunbar, WV",1,00:13,00:00,00:00,00:00,01:20
"United Air Lines Inc.",2023-01-02,00:12,2632,"Sarasota/Bradenton, FL",0,00:09,00:00,00:00,00:00,00:14
"Spirit Air Lines",2023-01-02,03:12,1190,"Chicago, IL",0,00:00,00:00,02:28,00:00,00:44
"JetBlue Airways",2023-01-02,00:04,2222,"Kansas City, MO",0,00:18,00:00,00:00,00:00,05:27
"Republic Airline",2023-01-02,-00:21,4715,"Huntsville, AL",0,00:22,00:00,00:00,00:00,00:54
"Alaska Airlines Inc.",2023-01-02,03:15,362,"Jackson, WY",0,03:15,00:00,00:00,00:00,00:00
"Delta Air Lines Inc.",2023-01-02,-00:41,428,"Lihue, HI",0,00:03,00:00,00:00,00:00,01:43
"Allegiant Air",2023-01-03,00:02,1206,"Concord, NC",0,00:00,00:00,00:04,00:00,00:31
"Endeavor Air Inc.",2023-01-03,-00:26,4867,"Buffalo, NY",0,00:00,00:00,00:17,00:00,00:00
"Endeavor Air Inc.",2023-01-03,-00:17,5531,"Montgomery, AL",0,00:00,00:00,00:00,00:00,02:48
"Delta Air Lines Inc.",2023-01-03,-00:16,462,"Knoxville, TN",1,00:00,00:00,00:00,00:00,01:51
"PSA Airlines Inc.",2023-01-03,-00:25,5150,"St. Louis, MO",0,00:35,00:00,00:41,00:00,00:00
"Spirit Air Lines",2023-01-04,-00:14,303,"Atlantic City, NJ",0,00:00,00:00,00:31,00:00,00:00
"American Airlines Inc.",2023-01-04,-00:06,590,"St. Louis, MO",0,00:00,00:00,00:00,00:00,01:54
"Allegiant Air",2023-01-04,00:30,3964,"Nashville, TN",0,00:00,00:00,00:30,00:00,00:00
"SkyWest Airlines Inc.",2023-01-04,01:25,4995,"Springfield, IL",0,01:25,00:00,00:00,00:00,00:00
"Alaska Airlines Inc.",2023-01-05,02:21,279,"Seattle, WA",0,02:17,00:00,00:04,00:00,00:00
"Allegiant Air",2023-01-05,00:25,2587,"Punta Gorda, FL",0,00:25,00:00,00:00,00:00,00:00
"Delta Air Lines Inc.",2023-01-05,00:10,1689,"Fort Myers, FL",0,02:03,00:00,00:00,00:00,00:00
"Frontier Airlines Inc.",2023-01-05,02:17,1322,"Cedar Rapids/Iowa City, IA",0,01:04,00:00,00:48,00:00,00:25
"Envoy Air",2023-01-05,-00:06,3358,"St. Louis, MO",0,00:34,00:00,00:00,00:00,00:00
"Envoy Air",2023-01-05,-00:10,4036,"Marquette, MI",1,00:18,00:00,00:00,00:00,00:00
"Endeavor Air Inc.",2023-01-05,00:41,4682,"Minot, ND",0,00:20,00:00,00:21,00:00,00:00
"Delta Air Lines Inc.",2023-01-06,-00:42,2064,"New York, NY",0,00:00,00:00,00:01,00:00,00:47
"SkyWest Airlines Inc.",2023-01-06,01:04,5856,"Tucson, AZ",0,00:00,00:00,01:04,00:00,00:00
"Delta Air Lines Inc.",2023-01-06,-00:20,2893,"Oklahoma City, OK",0,00:00,00:00,00:06,00:00,01:53
"Envoy Air",2023-01-06,-00:17,4192,"Abilene, TX",0,00:01,00:00,00:00,00:00,00:14
"SkyWest Airlines Inc.",2023-01-06,-00:07,3867,"Washington, DC",0,03:00,00:00,00:00,00:00,00:00
"United Air Lines Inc.",2023-01-06,-00:02,1415,"Traverse City, MI",0,00:00,00:00,01:58,00:00,00:00
"Endeavor Air Inc.",2023-01-07,-00:32,5392,"Dothan, AL",0,00:00,00:00,00:14,00:00,00:11
"SkyWest Airlines Inc.",2023-01-07,-00:15,5079,"Sheridan, WY",0,00:50,00:00,00:00,00:00,00:00
"Frontier Airlines Inc.",2023-01-07,00:31,2174,"Reno, NV",0,00:10,00:00,00:00,00:00,00:21
"Republic Airline",2023-01-07,-00:25,3491,"West Palm Beach/Palm Beach, FL",0,00:05,00:00,00:00,00:00,01:16
"American Airlines Inc.",2023-01-08,-00:18,2489,"West Palm Beach/Palm Beach, FL",0,00:16,00:00,00:04,00:00,00:04
"PSA Airlines Inc.",2023-01-08,-00:41,5365,"Augusta, GA",0,00:15,00:00,00:00,00:00,00:00
"JetBlue Airways",2023-01-08,01:02,579,"Washington, DC",0,00:39,00:00,00:17,00:00,00:06
"JetBlue Airways",2023-01-08,-00:12,1075,"Providence, RI",0,00:00,00:00,00:54,00:00,00:00
