AIRLINE,FL_DATE,ARR_DELAY,FL_NUMBER,ORIGIN_CITY,CANCELLED,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
Southwest Airlines Co.,2023-01-01,-3.0,1254,"Kansas City, MO",0.0,7.0,0.0,0.0,0.0,9.0
Republic Airline,2023-01-01,-17.0,5592,"Richmond, VA",0.0,0.0,0.0,34.0,0.0,0.0
Envoy Air,2023-01-01,-16.0,3505,"Madison, WI",0.0,0.0,0.0,18.0,0.0,0.0
Allegiant Air,2023-01-01,92.0,661,"Springfield, MO",0.0,4.0,0.0,5.0,0.0,83.0
SkyWest Airlines Inc.,2023-01-01,2.0,5077,"Liberal, KS",0.0,0.0,0.0,0.0,0.0,36.0
Spirit Air Lines,2023-01-01,3.0,1746,"Charleston/Dunbar, WV",1.0,13.0,0.0,0.0,0.0,80.0
United Air Lines Inc.,2023-01-02,12.0,2632,"Sarasota/Bradenton, FL",0.0,9.0,0.0,0.0,0.0,14.0
Spirit Air Lines,2023-01-02,192.0,1190,"Chicago, IL",0.0,0.0,0.0,148.0,0.0,44.0
JetBlue Airways,2023-01-02,4.0,2222,"Kansas City, MO",0.0,18.0,0.0,0.0,0.0,327.0
Republic Airline,2023-01-02,-21.0,4715,"Huntsville, AL",0.0,22.0,0.0,0.0,0.0,54.0
Alaska Airlines Inc.,2023-01-02,195.0,362,"Jackson, WY",0.0,195.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-01-02,-41.0,428,"Lihue, HI",0.0,3.0,0.0,0.0,0.0,103.0
Allegiant Air,2023-01-03,2.0,1206,"Concord, NC",0.0,0.0,0.0,4.0,0.0,31.0
Endeavor Air Inc.,2023-01-03,-26.0,4867,"Buffalo, NY",0.0,0.0,0.0,17.0,0.0,0.0
Endeavor Air Inc.,2023-01-03,-17.0,5531,"Montgomery, AL",0.0,0.0,0.0,0.0,0.0,168.0
Delta Air Lines Inc.,2023-01-03,-16.0,462,"Knoxville, TN",1.0,0.0,0.0,0.0,0.0,111.0
PSA Airlines Inc.,2023-01-03,-25.0,5150,"St. Louis, MO",0.0,35.0,0.0,41.0,0.0,0.0
United Air Lines Inc.,2023-01-03,6.0,1706,"Hilo, HI",0.0,,,,,
Spirit Air Lines,2023-01-04,-14.0,303,"Atlantic City, NJ",0.0,0.0,0.0,31.0,0.0,0.0
American Airlines Inc.,2023-01-04,-6.0,590,"St. Louis, MO",0.0,0.0,0.0,0.0,0.0,114.0
Allegiant Air,2023-01-04,30.0,3964,"Nashville, TN",0.0,0.0,0.0,30.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-04,85.0,4995,"Springfield, IL",0.0,85.0,0.0,0.0,0.0,0.0
Republic Airline,2023-01-04,-5.0,3451,"Ithaca/Cortland, NY",0.0,,,,,
SkyWest Airlines Inc.,2023-01-04,-24.0,3056,"Columbus, GA",0.0,,,,,
Envoy Air,2023-01-04,-22.0,3380,"Albany, NY",0.0,,,,,
Alaska Airlines Inc.,2023-01-05,141.0,279,"Seattle, WA",0.0,137.0,0.0,4.0,0.0,0.0
Allegiant Air,2023-01-05,25.0,2587,"Punta Gorda, FL",0.0,25.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-01-05,10.0,1689,"Fort Myers, FL",0.0,123.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,2023-01-05,137.0,1322,"Cedar Rapids/Iowa City, IA",0.0,64.0,0.0,48.0,0.0,25.0
Envoy Air,2023-01-05,-6.0,3358,"St. Louis, MO",0.0,34.0,0.0,0.0,0.0,0.0
Envoy Air,2023-01-05,-10.0,4036,"Marquette, MI",1.0,18.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,2023-01-05,41.0,4682,"Minot, ND",0.0,20.0,0.0,21.0,0.0,0.0
Delta Air Lines Inc.,2023-01-06,-42.0,2064,"New York, NY",0.0,0.0,0.0,1.0,0.0,47.0
SkyWest Airlines Inc.,2023-01-06,64.0,5856,"Tucson, AZ",0.0,0.0,0.0,64.0,0.0,0.0
Delta Air Lines Inc.,2023-01-06,-20.0,2893,"Oklahoma City, OK",0.0,0.0,0.0,6.0,0.0,113.0
Envoy Air,2023-01-06,-17.0,4192,"Abilene, TX",0.0,1.0,0.0,0.0,0.0,14.0
SkyWest Airlines Inc.,2023-01-06,-7.0,3867,"Washington, DC",0.0,180.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-01-06,-2.0,1415,"Traverse City, MI",0.0,0.0,0.0,118.0,0.0,0.0
Endeavor Air Inc.,2023-01-06,-17.0,4691,"Philadelphia, PA",0.0,,,,,
